"","SN","GRE","TOEFL","UnivR","SOP","LOR","CGPA","Rsrch","pradmit"
"267",267,312,105,2,2,2.5,8.45,0,0.72
"268",268,314,107,3,3,3.5,8.17,1,0.73
"269",269,327,113,4,4.5,5,9.14,0,0.83
"270",270,308,108,4,4.5,5,8.34,0,0.77
"271",271,306,105,2,2.5,3,8.22,1,0.72
"272",272,299,96,2,1.5,2,7.86,0,0.54
"273",273,294,95,1,1.5,1.5,7.64,0,0.49
"274",274,312,99,1,1,1.5,8.01,1,0.52
"275",275,315,100,1,2,2.5,7.95,0,0.58
"276",276,322,110,3,3.5,3,8.96,1,0.78
"277",277,329,113,5,5,4.5,9.45,1,0.89
"278",278,320,101,2,2.5,3,8.62,0,0.7
"279",279,308,103,2,3,3.5,8.49,0,0.66
"280",280,304,102,2,3,4,8.73,0,0.67
"281",281,311,102,3,4.5,4,8.64,1,0.68
"282",282,317,110,3,4,4.5,9.11,1,0.8
"283",283,312,106,3,4,3.5,8.79,1,0.81
"284",284,321,111,3,2.5,3,8.9,1,0.8
"285",285,340,112,4,5,4.5,9.66,1,0.94
"286",286,331,116,5,4,4,9.26,1,0.93
"287",287,336,118,5,4.5,4,9.19,1,0.92
"288",288,324,114,5,5,4.5,9.08,1,0.89
"289",289,314,104,4,5,5,9.02,0,0.82
"290",290,313,109,3,4,3.5,9,0,0.79
"291",291,307,105,2,2.5,3,7.65,0,0.58
"292",292,300,102,2,1.5,2,7.87,0,0.56
"293",293,302,99,2,1,2,7.97,0,0.56
"294",294,312,98,1,3.5,3,8.18,1,0.64
"295",295,316,101,2,2.5,2,8.32,1,0.61
"296",296,317,100,2,3,2.5,8.57,0,0.68
"297",297,310,107,3,3.5,3.5,8.67,0,0.76
"298",298,320,120,3,4,4.5,9.11,0,0.86
"299",299,330,114,3,4.5,4.5,9.24,1,0.9
"300",300,305,112,3,3,3.5,8.65,0,0.71
"301",301,309,106,2,2.5,2.5,8,0,0.62
"302",302,319,108,2,2.5,3,8.76,0,0.66
"303",303,322,105,2,3,3,8.45,1,0.65
"304",304,323,107,3,3.5,3.5,8.55,1,0.73
"305",305,313,106,2,2.5,2,8.43,0,0.62
"306",306,321,109,3,3.5,3.5,8.8,1,0.74
"307",307,323,110,3,4,3.5,9.1,1,0.79
"308",308,325,112,4,4,4,9,1,0.8
"309",309,312,108,3,3.5,3,8.53,0,0.69
"310",310,308,110,4,3.5,3,8.6,0,0.7
"311",311,320,104,3,3,3.5,8.74,1,0.76
"312",312,328,108,4,4.5,4,9.18,1,0.84
"313",313,311,107,4,4.5,4.5,9,1,0.78
"314",314,301,100,3,3.5,3,8.04,0,0.67
"315",315,305,105,2,3,4,8.13,0,0.66
"316",316,308,104,2,2.5,3,8.07,0,0.65
"317",317,298,101,2,1.5,2,7.86,0,0.54
"318",318,300,99,1,1,2.5,8.01,0,0.58
"319",319,324,111,3,2.5,2,8.8,1,0.79
"320",320,327,113,4,3.5,3,8.69,1,0.8
"321",321,317,106,3,4,3.5,8.5,1,0.75
"322",322,323,104,3,4,4,8.44,1,0.73
"323",323,314,107,2,2.5,4,8.27,0,0.72
"324",324,305,102,2,2,2.5,8.18,0,0.62
"325",325,315,104,3,3,2.5,8.33,0,0.67
"326",326,326,116,3,3.5,4,9.14,1,0.81
"327",327,299,100,3,2,2,8.02,0,0.63
"328",328,295,101,2,2.5,2,7.86,0,0.69
"329",329,324,112,4,4,3.5,8.77,1,0.8
"330",330,297,96,2,2.5,1.5,7.89,0,0.43
"331",331,327,113,3,3.5,3,8.66,1,0.8
"332",332,311,105,2,3,2,8.12,1,0.73
"333",333,308,106,3,3.5,2.5,8.21,1,0.75
"334",334,319,108,3,3,3.5,8.54,1,0.71
"335",335,312,107,4,4.5,4,8.65,1,0.73
"336",336,325,111,4,4,4.5,9.11,1,0.83
"337",337,319,110,3,3,2.5,8.79,0,0.72
"338",338,332,118,5,5,5,9.47,1,0.94
"339",339,323,108,5,4,4,8.74,1,0.81
"340",340,324,107,5,3.5,4,8.66,1,0.81
"341",341,312,107,3,3,3,8.46,1,0.75
"342",342,326,110,3,3.5,3.5,8.76,1,0.79
"343",343,308,106,3,3,3,8.24,0,0.58
"344",344,305,103,2,2.5,3.5,8.13,0,0.59
"345",345,295,96,2,1.5,2,7.34,0,0.47
"346",346,316,98,1,1.5,2,7.43,0,0.49
"347",347,304,97,2,1.5,2,7.64,0,0.47
"348",348,299,94,1,1,1,7.34,0,0.42
"349",349,302,99,1,2,2,7.25,0,0.57
"350",350,313,101,3,2.5,3,8.04,0,0.62
"351",351,318,107,3,3,3.5,8.27,1,0.74
"352",352,325,110,4,3.5,4,8.67,1,0.73
"353",353,303,100,2,3,3.5,8.06,1,0.64
"354",354,300,102,3,3.5,2.5,8.17,0,0.63
"355",355,297,98,2,2.5,3,7.67,0,0.59
"356",356,317,106,2,2,3.5,8.12,0,0.73
"357",357,327,109,3,3.5,4,8.77,1,0.79
"358",358,301,104,2,3.5,3.5,7.89,1,0.68
"359",359,314,105,2,2.5,2,7.64,0,0.7
"360",360,321,107,2,2,1.5,8.44,0,0.81
"361",361,322,110,3,4,5,8.64,1,0.85
"362",362,334,116,4,4,3.5,9.54,1,0.93
"363",363,338,115,5,4.5,5,9.23,1,0.91
"364",364,306,103,2,2.5,3,8.36,0,0.69
"365",365,313,102,3,3.5,4,8.9,1,0.77
"366",366,330,114,4,4.5,3,9.17,1,0.86
"367",367,320,104,3,3.5,4.5,8.34,1,0.74
"368",368,311,98,1,1,2.5,7.46,0,0.57
"369",369,298,92,1,2,2,7.88,0,0.51
"370",370,301,98,1,2,3,8.03,1,0.67
"371",371,310,103,2,2.5,2.5,8.24,0,0.72
"372",372,324,110,3,3.5,3,9.22,1,0.89
"373",373,336,119,4,4.5,4,9.62,1,0.95
"374",374,321,109,3,3,3,8.54,1,0.79
"375",375,315,105,2,2,2.5,7.65,0,0.39
"376",376,304,101,2,2,2.5,7.66,0,0.38
"377",377,297,96,2,2.5,2,7.43,0,0.34
"378",378,290,100,1,1.5,2,7.56,0,0.47
"379",379,303,98,1,2,2.5,7.65,0,0.56
"380",380,311,99,1,2.5,3,8.43,1,0.71
"381",381,322,104,3,3.5,4,8.84,1,0.78
"382",382,319,105,3,3,3.5,8.67,1,0.73
"383",383,324,110,4,4.5,4,9.15,1,0.82
"384",384,300,100,3,3,3.5,8.26,0,0.62
"385",385,340,113,4,5,5,9.74,1,0.96
"386",386,335,117,5,5,5,9.82,1,0.96
"387",387,302,101,2,2.5,3.5,7.96,0,0.46
"388",388,307,105,2,2,3.5,8.1,0,0.53
"389",389,296,97,2,1.5,2,7.8,0,0.49
"390",390,320,108,3,3.5,4,8.44,1,0.76
"391",391,314,102,2,2,2.5,8.24,0,0.64
"392",392,318,106,3,2,3,8.65,0,0.71
"393",393,326,112,4,4,3.5,9.12,1,0.84
"394",394,317,104,2,3,3,8.76,0,0.77
"395",395,329,111,4,4.5,4,9.23,1,0.89
"396",396,324,110,3,3.5,3.5,9.04,1,0.82
"397",397,325,107,3,3,3.5,9.11,1,0.84
"398",398,330,116,4,5,4.5,9.45,1,0.91
"399",399,312,103,3,3.5,4,8.78,0,0.67
"400",400,333,117,4,5,4,9.66,1,0.95
"401",401,304,100,2,3.5,3,8.22,0,0.63
"402",402,315,105,2,3,3,8.34,0,0.66
"403",403,324,109,3,3.5,3,8.94,1,0.78
"404",404,330,116,4,4,3.5,9.23,1,0.91
"405",405,311,101,3,2,2.5,7.64,1,0.62
"406",406,302,99,3,2.5,3,7.45,0,0.52
"407",407,322,103,4,3,2.5,8.02,1,0.61
"408",408,298,100,3,2.5,4,7.95,1,0.58
"409",409,297,101,3,2,4,7.67,1,0.57
"410",410,300,98,1,2,2.5,8.02,0,0.61
"411",411,301,96,1,3,4,7.56,0,0.54
"412",412,313,94,2,2.5,1.5,8.13,0,0.56
"413",413,314,102,4,2.5,2,7.88,1,0.59
"414",414,317,101,3,3,2,7.94,1,0.49
"415",415,321,110,4,3.5,4,8.35,1,0.72
"416",416,327,106,4,4,4.5,8.75,1,0.76
"417",417,315,104,3,4,2.5,8.1,0,0.65
"418",418,316,103,3,3.5,2,7.68,0,0.52
"419",419,309,111,2,2.5,4,8.03,0,0.6
"420",420,308,102,2,2,3.5,7.98,1,0.58
"421",421,299,100,3,2,3,7.42,0,0.42
"422",422,321,112,3,3,4.5,8.95,1,0.77
"423",423,322,112,4,3.5,2.5,9.02,1,0.73
"424",424,334,119,5,4.5,5,9.54,1,0.94
"425",425,325,114,5,4,5,9.46,1,0.91
"426",426,323,111,5,4,5,9.86,1,0.92
"427",427,312,106,3,3,5,8.57,0,0.71
"428",428,310,101,3,3.5,5,8.65,1,0.71
"429",429,316,103,2,2,4.5,8.74,0,0.69
"430",430,340,115,5,5,4.5,9.06,1,0.95
"431",431,311,104,3,4,3.5,8.13,1,0.74
"432",432,320,112,2,3.5,3.5,8.78,1,0.73
"433",433,324,112,4,4.5,4,9.22,1,0.86
"434",434,316,111,4,4,5,8.54,0,0.71
"435",435,306,103,3,3.5,3,8.21,0,0.64
"436",436,309,105,2,2.5,4,7.68,0,0.55
"437",437,310,110,1,1.5,4,7.23,1,0.58
"438",438,317,106,1,1.5,3.5,7.65,1,0.61
"439",439,318,110,1,2.5,3.5,8.54,1,0.67
"440",440,312,105,2,1.5,3,8.46,0,0.66
"441",441,305,104,2,2.5,1.5,7.79,0,0.53
"442",442,332,112,1,1.5,3,8.66,1,0.79
"443",443,331,116,4,4.5,4.5,9.44,1,0.92
"444",444,321,114,5,4.5,4.5,9.16,1,0.87
"445",445,324,113,5,4,5,9.25,1,0.92
"446",446,328,116,5,4.5,5,9.08,1,0.91
"447",447,327,118,4,5,5,9.67,1,0.93
"448",448,320,108,3,3.5,5,8.97,1,0.84
"449",449,312,109,2,2.5,4,9.02,0,0.8
"450",450,315,101,3,3.5,4.5,9.13,0,0.79
"451",451,320,112,4,3,4.5,8.86,1,0.82
"452",452,324,113,4,4.5,4.5,9.25,1,0.89
"453",453,328,116,4,5,3.5,9.6,1,0.93
"454",454,319,103,3,2.5,4,8.76,1,0.73
"455",455,310,105,2,3,3.5,8.01,0,0.71
"456",456,305,102,2,1.5,2.5,7.64,0,0.59
"457",457,299,100,2,2,2,7.88,0,0.51
"458",458,295,99,1,2,1.5,7.57,0,0.37
"459",459,312,100,1,3,3,8.53,1,0.69
"460",460,329,113,4,4,3.5,9.36,1,0.89
"461",461,319,105,4,4,4.5,8.66,1,0.77
"462",462,301,102,3,2.5,2,8.13,1,0.68
"463",463,307,105,4,3,3,7.94,0,0.62
"464",464,304,107,3,3.5,3,7.86,0,0.57
"465",465,298,97,2,2,3,7.21,0,0.45
"466",466,305,96,4,3,4.5,8.26,0,0.54
"467",467,314,99,4,3.5,4.5,8.73,1,0.71
"468",468,318,101,5,3.5,5,8.78,1,0.78
"469",469,323,110,4,4,5,8.88,1,0.81
"470",470,326,114,4,4,3.5,9.16,1,0.86
"471",471,320,110,5,4,4,9.27,1,0.87
"472",472,311,103,3,2,4,8.09,0,0.64
"473",473,327,116,4,4,4.5,9.48,1,0.9
"474",474,316,102,2,4,3.5,8.15,0,0.67
"475",475,308,105,4,3,2.5,7.95,1,0.67
"476",476,300,101,3,3.5,2.5,7.88,0,0.59
"477",477,304,104,3,2.5,2,8.12,0,0.62
"478",478,309,105,4,3.5,2,8.18,0,0.65
"479",479,318,103,3,4,4.5,8.49,1,0.71
"480",480,325,110,4,4.5,4,8.96,1,0.79
"481",481,321,102,3,3.5,4,9.01,1,0.8
"482",482,323,107,4,3,2.5,8.48,1,0.78
"483",483,328,113,4,4,2.5,8.77,1,0.83
"484",484,304,103,5,5,3,7.92,0,0.71
"485",485,317,106,3,3.5,3,7.89,1,0.73
"486",486,311,101,2,2.5,3.5,8.34,1,0.7
"487",487,319,102,3,2.5,2.5,8.37,0,0.68
"488",488,327,115,4,3.5,4,9.14,0,0.79
"489",489,322,112,3,3,4,8.62,1,0.76
"490",490,302,110,3,4,4.5,8.5,0,0.65
"491",491,307,105,2,2.5,4.5,8.12,1,0.67
"492",492,297,99,4,3,3.5,7.81,0,0.54
"493",493,298,101,4,2.5,4.5,7.69,1,0.53
"494",494,300,95,2,3,1.5,8.22,1,0.62
"495",495,301,99,3,2.5,2,8.45,1,0.68
"496",496,332,108,5,4.5,4,9.02,1,0.87
"497",497,337,117,5,5,5,9.87,1,0.96
"498",498,330,120,5,4.5,5,9.56,1,0.93
"499",499,312,103,4,4,5,8.43,0,0.73
"500",500,327,113,4,4.5,4.5,9.04,0,0.84
